scenario_id,gen_tech,year,overnight_cost_mw
2,Central_PV,2016,1400000
2,Central_PV,2017,1386000
2,Central_PV,2018,1372140
2,Central_PV,2019,1358419
2,Central_PV,2020,1344834
2,Central_PV,2021,1331386
2,Central_PV,2022,1318072
2,Central_PV,2023,1304891
2,Central_PV,2024,1291843
2,Central_PV,2025,1278924
2,Central_PV,2026,1266135
2,Central_PV,2027,1253474
2,Central_PV,2028,1240939
2,Central_PV,2029,1228529
2,Central_PV,2030,1216244
2,Central_PV,2031,1204082
2,Central_PV,2032,1192041
2,Central_PV,2033,1180120
2,Central_PV,2034,1168319
2,Central_PV,2035,1156636
2,Central_PV,2036,1145070
2,Central_PV,2037,1133619
2,Central_PV,2038,1122283
2,Central_PV,2039,1111060
2,Central_PV,2040,1099949
2,Central_PV,2041,1088950
2,Central_PV,2042,1078060
2,Central_PV,2043,1067280
2,Central_PV,2044,1056607
2,Central_PV,2045,1046041
2,Central_PV,2046,1035581
2,Central_PV,2047,1025225
2,Central_PV,2048,1014972
2,Central_PV,2049,1004823
2,Central_PV,2050,994775
2,Central_PV,2051,984827
2,Central_PV,2052,974979
2,Central_PV,2053,965229
2,Central_PV,2054,955576
2,Central_PV,2055,946021
2,Central_PV,2056,936560
2,Central_PV,2057,927195
2,Central_PV,2058,917923
2,Central_PV,2059,908744
2,Central_PV,2060,899656
2,Central_PV,2061,890660
2,Central_PV,2062,881753
2,Central_PV,2063,872936
2,Central_PV,2064,864206
2,Central_PV,2065,855564
2,Central_PV,2066,847008
2,Central_PV,2067,838538
2,Central_PV,2068,830153
2,Central_PV,2069,821851
2,Central_PV,2070,813633
2,Commercial_PV,2016,2600000
2,Commercial_PV,2017,2574000
2,Commercial_PV,2018,2548260
2,Commercial_PV,2019,2522777
2,Commercial_PV,2020,2497550
2,Commercial_PV,2021,2472574
2,Commercial_PV,2022,2447848
2,Commercial_PV,2023,2423370
2,Commercial_PV,2024,2399136
2,Commercial_PV,2025,2375145
2,Commercial_PV,2026,2351393
2,Commercial_PV,2027,2327879
2,Commercial_PV,2028,2304601
2,Commercial_PV,2029,2281555
2,Commercial_PV,2030,2258739
2,Commercial_PV,2031,2236152
2,Commercial_PV,2032,2213790
2,Commercial_PV,2033,2191652
2,Commercial_PV,2034,2169736
2,Commercial_PV,2035,2148038
2,Commercial_PV,2036,2126558
2,Commercial_PV,2037,2105292
2,Commercial_PV,2038,2084240
2,Commercial_PV,2039,2063397
2,Commercial_PV,2040,2042763
2,Commercial_PV,2041,2022336
2,Commercial_PV,2042,2002112
2,Commercial_PV,2043,1982091
2,Commercial_PV,2044,1962270
2,Commercial_PV,2045,1942647
2,Commercial_PV,2046,1923221
2,Commercial_PV,2047,1903989
2,Commercial_PV,2048,1884949
2,Commercial_PV,2049,1866099
2,Commercial_PV,2050,1847438
2,Commercial_PV,2051,1828964
2,Commercial_PV,2052,1810674
2,Commercial_PV,2053,1792568
2,Commercial_PV,2054,1774642
2,Commercial_PV,2055,1756896
