scenario_id,gen_tech,year,overnight_cost_mw
1,Central_PV,2016,1400000
1,Central_PV,2017,1344000
1,Central_PV,2018,1290240
1,Central_PV,2019,1238630
1,Central_PV,2020,1189085
1,Central_PV,2021,1141522
1,Central_PV,2022,1095861
1,Central_PV,2023,1052026
1,Central_PV,2024,1009945
1,Central_PV,2025,969548
1,Central_PV,2026,930766
1,Central_PV,2027,893535
1,Central_PV,2028,857794
1,Central_PV,2029,823482
1,Central_PV,2030,790543
1,Central_PV,2031,782637
1,Central_PV,2032,774811
1,Central_PV,2033,767063
1,Central_PV,2034,759392
1,Central_PV,2035,751798
1,Central_PV,2036,744280
1,Central_PV,2037,736837
1,Central_PV,2038,729469
1,Central_PV,2039,722174
1,Central_PV,2040,714953
1,Central_PV,2041,707803
1,Central_PV,2042,700725
1,Central_PV,2043,693718
1,Central_PV,2044,686781
1,Central_PV,2045,679913
1,Central_PV,2046,673114
1,Central_PV,2047,666383
1,Central_PV,2048,659719
1,Central_PV,2049,653122
1,Central_PV,2050,646590
1,Central_PV,2051,640124
1,Central_PV,2052,633723
1,Central_PV,2053,627386
1,Central_PV,2054,621112
1,Central_PV,2055,614901
1,Central_PV,2056,608752
1,Central_PV,2057,602664
1,Central_PV,2058,596638
1,Central_PV,2059,590671
1,Central_PV,2060,584765
1,Central_PV,2061,578917
1,Central_PV,2062,573128
1,Central_PV,2063,567397
1,Central_PV,2064,561723
1,Central_PV,2065,556105
1,Central_PV,2066,550544
1,Central_PV,2067,545039
1,Central_PV,2068,539589
1,Central_PV,2069,534193
1,Central_PV,2070,528851
1,Commercial_PV,2016,2600000
1,Commercial_PV,2017,2496000
1,Commercial_PV,2018,2396160
1,Commercial_PV,2019,2300314
1,Commercial_PV,2020,2208301
1,Commercial_PV,2021,2119969
1,Commercial_PV,2022,2035170
1,Commercial_PV,2023,1953763
1,Commercial_PV,2024,1875613
1,Commercial_PV,2025,1800588
1,Commercial_PV,2026,1728565
1,Commercial_PV,2027,1659422
1,Commercial_PV,2028,1593045
1,Commercial_PV,2029,1529324
1,Commercial_PV,2030,1468151
1,Commercial_PV,2031,1453469
1,Commercial_PV,2032,1438934
1,Commercial_PV,2033,1424545
1,Commercial_PV,2034,1410300
1,Commercial_PV,2035,1396197
1,Commercial_PV,2036,1382235
1,Commercial_PV,2037,1368412
1,Commercial_PV,2038,1354728
1,Commercial_PV,2039,1341181
1,Commercial_PV,2040,1327769
1,Commercial_PV,2041,1314491
1,Commercial_PV,2042,1301346
1,Commercial_PV,2043,1288333
1,Commercial_PV,2044,1275450
1,Commercial_PV,2045,1262695
1,Commercial_PV,2046,1250068
1,Commercial_PV,2047,1237568
1,Commercial_PV,2048,1225192
1,Commercial_PV,2049,1212940
1,Commercial_PV,2050,1200811
1,Commercial_PV,2051,1188802
1,Commercial_PV,2052,1176914
1,Commercial_PV,2053,1165145
1,Commercial_PV,2054,1153494
1,Commercial_PV,2055,1141959
1,Commercial_PV,2056,1130539
1,Commercial_PV,2057,1119234
1,Commercial_PV,2058,1108042
1,Commercial_PV,2059,1096961
1,Commercial_PV,2060,1085992
1,Commercial_PV,2061,1075132
1,Commercial_PV,2062,1064380
1,Commercial_PV,2063,1053737
1,Commercial_PV,2064,1043199
1,Commercial_PV,2065,1032767
1,Commercial_PV,2066,1022439
1,Commercial_PV,2067,1012215
1,Commercial_PV,2068,1002093
1,Commercial_PV,2069,992072
1,Commercial_PV,2070,982151
1,Residential_PV,2016,2900000
1,Residential_PV,2017,2784000
1,Residential_PV,2018,2672640
1,Residential_PV,2019,2565734
1,Residential_PV,2020,2463105
1,Residential_PV,2021,2364581
1,Residential_PV,2022,2269998
1,Residential_PV,2023,2179198
1,Residential_PV,2024,2092030
1,Residential_PV,2025,2008349
1,Residential_PV,2026,1928015
1,Residential_PV,2027,1850894
1,Residential_PV,2028,1776858
1,Residential_PV,2029,1705784
1,Residential_PV,2030,1637553
1,Residential_PV,2031,1621177
1,Residential_PV,2032,1604965
1,Residential_PV,2033,1588916
1,Residential_PV,2034,1573026
1,Residential_PV,2035,1557296
1,Residential_PV,2036,1541723
1,Residential_PV,2037,1526306
1,Residential_PV,2038,1511043
1,Residential_PV,2039,1495933
1,Residential_PV,2040,1480973
1,Residential_PV,2041,1466163
1,Residential_PV,2042,1451502
1,Residential_PV,2043,1436987
1,Residential_PV,2044,1422617
1,Residential_PV,2045,1408391
1,Residential_PV,2046,1394307
1,Residential_PV,2047,1380364
1,Residential_PV,2048,1366560
1,Residential_PV,2049,1352895
1,Residential_PV,2050,1339366
1,Residential_PV,2051,1325972
1,Residential_PV,2052,1312712
1,Residential_PV,2053,1299585
1,Residential_PV,2054,1286589
1,Residential_PV,2055,1273723
1,Residential_PV,2056,1260986
1,Residential_PV,2057,1248376
1,Residential_PV,2058,1235893
1,Residential_PV,2059,1223534
1,Residential_PV,2060,1211298
1,Residential_PV,2061,1199185
1,Residential_PV,2062,1187193
1,Residential_PV,2063,1175322
1,Residential_PV,2064,1163568
1,Residential_PV,2065,1151933
1,Residential_PV,2066,1140413
1,Residential_PV,2067,1129009
1,Residential_PV,2068,1117719
1,Residential_PV,2069,1106542
1,Residential_PV,2070,1095476
1,Offshore_Wind,2016,4500000
1,Offshore_Wind,2017,4320000
1,Offshore_Wind,2018,4147200
1,Offshore_Wind,2019,3981312
1,Offshore_Wind,2020,3822060
1,Offshore_Wind,2021,3669177
1,Offshore_Wind,2022,3522410
1,Offshore_Wind,2023,3381514
1,Offshore_Wind,2024,3246253
1,Offshore_Wind,2025,3116403
1,Offshore_Wind,2026,2991747
1,Offshore_Wind,2027,2872077
1,Offshore_Wind,2028,2757194
1,Offshore_Wind,2029,2646906
1,Offshore_Wind,2030,2541030
1,Offshore_Wind,2031,2515620
1,Offshore_Wind,2032,2490463
1,Offshore_Wind,2033,2465559
1,Offshore_Wind,2034,2440903
1,Offshore_Wind,2035,2416494
1,Offshore_Wind,2036,2392329
1,Offshore_Wind,2037,2368406
1,Offshore_Wind,2038,2344722
1,Offshore_Wind,2039,2321275
1,Offshore_Wind,2040,2298062
1,Offshore_Wind,2041,2275081
1,Offshore_Wind,2042,2252330
1,Offshore_Wind,2043,2229807
1,Offshore_Wind,2044,2207509
1,Offshore_Wind,2045,2185434
1,Offshore_Wind,2046,2163580
1,Offshore_Wind,2047,2141944
1,Offshore_Wind,2048,2120524
1,Offshore_Wind,2049,2099319
1,Offshore_Wind,2050,2078326
1,Offshore_Wind,2051,2057543
1,Offshore_Wind,2052,2036967
1,Offshore_Wind,2053,2016598
1,Offshore_Wind,2054,1996432
1,Offshore_Wind,2055,1976467
1,Offshore_Wind,2056,1956703
1,Offshore_Wind,2057,1937136
1,Offshore_Wind,2058,1917764
1,Offshore_Wind,2059,1898587
1,Offshore_Wind,2060,1879601
1,Offshore_Wind,2061,1860805
1,Offshore_Wind,2062,1842197
1,Offshore_Wind,2063,1823775
1,Offshore_Wind,2064,1805537
1,Offshore_Wind,2065,1787482
1,Offshore_Wind,2066,1769607
1,Offshore_Wind,2067,1751911
1,Offshore_Wind,2068,1734392
1,Offshore_Wind,2069,1717048
1,Offshore_Wind,2070,1699877
1,Geothermal,2016,5000000
1,Geothermal,2017,5000000
1,Geothermal,2018,5000000
1,Geothermal,2019,5000000
1,Geothermal,2020,5000000
1,Geothermal,2021,5000000
1,Geothermal,2022,5000000
1,Geothermal,2023,5000000
1,Geothermal,2024,5000000
1,Geothermal,2025,5000000
1,Geothermal,2026,5000000
1,Geothermal,2027,5000000
1,Geothermal,2028,5000000
1,Geothermal,2029,5000000
1,Geothermal,2030,5000000
1,Geothermal,2031,5000000
1,Geothermal,2032,5000000
1,Geothermal,2033,5000000
1,Geothermal,2034,5000000
1,Geothermal,2035,5000000
1,Geothermal,2036,5000000
1,Geothermal,2037,5000000
1,Geothermal,2038,5000000
1,Geothermal,2039,5000000
1,Geothermal,2040,5000000
1,Geothermal,2041,5000000
1,Geothermal,2042,5000000
1,Geothermal,2043,5000000
1,Geothermal,2044,5000000
1,Geothermal,2045,5000000
1,Geothermal,2046,5000000
1,Geothermal,2047,5000000
1,Geothermal,2048,5000000
1,Geothermal,2049,5000000
1,Geothermal,2050,5000000
1,Geothermal,2051,5000000
1,Geothermal,2052,5000000
