scenario_id,gen_tech,year,overnight_cost_mw
3,Central_PV,2016,3096510
3,Central_PV,2017,3065545
3,Central_PV,2018,3034889
3,Central_PV,2019,3004541
3,Central_PV,2020,2974495
3,Central_PV,2021,2944750
3,Central_PV,2022,2915303
3,Central_PV,2023,2886150
3,Central_PV,2024,2857288
3,Central_PV,2025,2828715
3,Central_PV,2026,2800428
3,Central_PV,2027,2772424
3,Central_PV,2028,2744700
3,Central_PV,2029,2717253
3,Central_PV,2030,2690080
3,Central_PV,2031,2663179
3,Central_PV,2032,2636548
3,Central_PV,2033,2610182
3,Central_PV,2034,2584080
3,Central_PV,2035,2558239
3,Central_PV,2036,2532657
3,Central_PV,2037,2507330
3,Central_PV,2038,2482257
3,Central_PV,2039,2457435
3,Central_PV,2040,2432860
3,Central_PV,2041,2408532
3,Central_PV,2042,2384446
3,Central_PV,2043,2360602
3,Central_PV,2044,2336996
3,Central_PV,2045,2313626
3,Central_PV,2046,2290490
3,Central_PV,2047,2267585
3,Central_PV,2048,2244909
3,Central_PV,2049,2222460
3,Central_PV,2050,2200235
3,Central_PV,2051,2178233
3,Central_PV,2052,2156450
3,Central_PV,2053,2134886
3,Central_PV,2054,2113537
3,Central_PV,2055,2092402
3,Central_PV,2056,2071478
3,Central_PV,2057,2050763
3,Central_PV,2058,2030255
3,Central_PV,2059,2009953
3,Central_PV,2060,1989853
3,Central_PV,2061,1969955
3,Central_PV,2062,1950255
3,Central_PV,2063,1930753
3,Central_PV,2064,1911445
3,Central_PV,2065,1892331
3,Central_PV,2066,1873407
3,Central_PV,2067,1854673
3,Central_PV,2068,1836127
3,Central_PV,2069,1817765
3,Central_PV,2070,1799588
3,Commercial_PV,2016,3729020
3,Commercial_PV,2017,3691730
3,Commercial_PV,2018,3654813
3,Commercial_PV,2019,3618264
3,Commercial_PV,2020,3582082
3,Commercial_PV,2021,3546261
3,Commercial_PV,2022,3510798
3,Commercial_PV,2023,3475690
3,Commercial_PV,2024,3440933
3,Commercial_PV,2025,3406524
3,Commercial_PV,2026,3372459
3,Commercial_PV,2027,3338734
3,Commercial_PV,2028,3305347
3,Commercial_PV,2029,3272293
3,Commercial_PV,2030,3239571
3,Commercial_PV,2031,3207175
3,Commercial_PV,2032,3175103
3,Commercial_PV,2033,3143352
3,Commercial_PV,2034,3111919
3,Commercial_PV,2035,3080799
3,Commercial_PV,2036,3049991
3,Commercial_PV,2037,3019491
3,Commercial_PV,2038,2989297
3,Commercial_PV,2039,2959404
3,Commercial_PV,2040,2929810
3,Commercial_PV,2041,2900511
3,Commercial_PV,2042,2871506
3,Commercial_PV,2043,2842791
3,Commercial_PV,2044,2814363
3,Commercial_PV,2045,2786220
3,Commercial_PV,2046,2758357
3,Commercial_PV,2047,2730774
3,Commercial_PV,2048,2703466
3,Commercial_PV,2049,2676432
3,Commercial_PV,2050,2649667
3,Commercial_PV,2051,2623171
3,Commercial_PV,2052,2596939
3,Commercial_PV,2053,2570969
3,Commercial_PV,2054,2545260
3,Commercial_PV,2055,2519807
3,Commercial_PV,2056,2494609
3,Commercial_PV,2057,2469663
3,Commercial_PV,2058,2444966
3,Commercial_PV,2059,2420517
3,Commercial_PV,2060,2396312
3,Commercial_PV,2061,2372348
3,Commercial_PV,2062,2348625
3,Commercial_PV,2063,2325139
3,Commercial_PV,2064,2301887
3,Commercial_PV,2065,2278868
3,Commercial_PV,2066,2256080
3,Commercial_PV,2067,2233519
3,Commercial_PV,2068,2211184
